Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Coin,Scope,Date
Close_t-1,0.2620732501771536,0.2620732501771536,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-2,0.2544411148082571,0.2544411148082571,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-3,0.2432000059715765,0.2432000059715765,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-4,0.2300460191559045,0.2300460191559045,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-5,0.2171739628715744,0.2171739628715744,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-6,0.2057765033182245,0.2057765033182245,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-7,0.1956443229557973,0.1956443229557973,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
BTC_t-0,0.1840246941584655,0.1840246941584655,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
BTC_t-1,0.179454209723169,0.179454209723169,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
Close_t-0,0.2662953553165214,0.2662953553165214,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-1,0.2613669467053876,0.2613669467053876,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-2,0.2542312083675544,0.2542312083675544,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-3,0.2431370308365777,0.2431370308365777,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-4,0.2289885489579738,0.2289885489579738,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-5,0.2186511602312524,0.2186511602312524,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-6,0.2046162351234416,0.2046162351234416,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-7,0.1959088250575106,0.1959088250575106,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
BTC_t-0,0.1843600734503358,0.1843600734503358,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
BTC_t-1,0.1805228362350712,0.1805228362350712,2022-02-17 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-17
Close_t-0,0.2642792912260528,0.2642792912260528,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-1,0.2622461838251083,0.2622461838251083,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-2,0.2525701031774799,0.2525701031774799,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-3,0.2416792914487468,0.2416792914487468,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-4,0.22900110293127,0.22900110293127,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-5,0.2168379336812828,0.2168379336812828,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-6,0.2046063020403112,0.2046063020403112,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-7,0.1955208531664211,0.1955208531664211,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
BTC_t-0,0.1855060542642245,0.1855060542642245,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
BTC_t-1,0.1811715746532401,0.1811715746532401,2022-02-18 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-18
Close_t-0,0.2647176393378856,0.2647176393378856,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-1,0.2626138264681216,0.2626138264681216,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-2,0.2558120512162733,0.2558120512162733,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-3,0.241543142525453,0.241543142525453,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-4,0.2299071816183932,0.2299071816183932,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-5,0.2178485222633149,0.2178485222633149,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-6,0.2064375156406147,0.2064375156406147,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-7,0.1950465135610394,0.1950465135610394,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
BTC_t-0,0.1853172116048765,0.1853172116048765,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
BTC_t-1,0.1816562540375428,0.1816562540375428,2022-02-19 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-19
Close_t-0,0.263882161978488,0.263882161978488,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-1,0.2623343821744882,0.2623343821744882,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-2,0.2554409595685767,0.2554409595685767,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-3,0.2428061795754849,0.2428061795754849,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-4,0.2303143321727654,0.2303143321727654,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
