Date,Ticker,Gtrend
2016-02-24,BTC-USD,35
2016-02-25,BTC-USD,32
2016-02-26,BTC-USD,33
2016-02-27,BTC-USD,31
2016-02-28,BTC-USD,29
2016-02-29,BTC-USD,31
2016-03-01,BTC-USD,32
2016-03-02,BTC-USD,32
2016-03-03,BTC-USD,35
2016-03-04,BTC-USD,30
2016-03-05,BTC-USD,37
2016-03-06,BTC-USD,28
2016-03-07,BTC-USD,32
2016-03-08,BTC-USD,31
2016-03-09,BTC-USD,33
2016-03-10,BTC-USD,30
2016-03-11,BTC-USD,28
2016-03-12,BTC-USD,29
2016-03-13,BTC-USD,28
2016-03-14,BTC-USD,33
2016-03-15,BTC-USD,32
2016-03-16,BTC-USD,31
2016-03-17,BTC-USD,28
2016-03-18,BTC-USD,27
2016-03-19,BTC-USD,29
2016-03-20,BTC-USD,30
2016-03-21,BTC-USD,31
2016-03-22,BTC-USD,31
2016-03-23,BTC-USD,30
2016-03-24,BTC-USD,30
2016-03-25,BTC-USD,27
2016-03-26,BTC-USD,27
2016-03-27,BTC-USD,28
2016-03-28,BTC-USD,28
2016-03-29,BTC-USD,30
2016-03-30,BTC-USD,32
2016-03-31,BTC-USD,30
2016-04-01,BTC-USD,28
2016-04-02,BTC-USD,28
2016-04-03,BTC-USD,26
2016-04-04,BTC-USD,29
2016-04-05,BTC-USD,31
2016-04-06,BTC-USD,30
2016-04-07,BTC-USD,30
2016-04-08,BTC-USD,28
2016-04-09,BTC-USD,26
2016-04-10,BTC-USD,28
2016-04-11,BTC-USD,29
2016-04-12,BTC-USD,31
2016-04-13,BTC-USD,32
2016-04-14,BTC-USD,26
2016-04-15,BTC-USD,26
2016-04-16,BTC-USD,26
2016-04-17,BTC-USD,27
2016-04-18,BTC-USD,27
2016-04-19,BTC-USD,30
2016-04-20,BTC-USD,29
2016-04-21,BTC-USD,32
2016-04-22,BTC-USD,34
2016-04-23,BTC-USD,29
2016-04-24,BTC-USD,34
2016-04-25,BTC-USD,33
2016-04-26,BTC-USD,33
2016-04-27,BTC-USD,34
2016-04-28,BTC-USD,38
2016-04-29,BTC-USD,33
2016-04-30,BTC-USD,31
2016-05-01,BTC-USD,27
2016-05-02,BTC-USD,100
2016-05-03,BTC-USD,63
2016-05-04,BTC-USD,42
2016-05-05,BTC-USD,43
2016-05-06,BTC-USD,39
2016-05-07,BTC-USD,37
2016-05-08,BTC-USD,36
2016-05-09,BTC-USD,37
2016-05-10,BTC-USD,36
2016-05-11,BTC-USD,36
2016-05-12,BTC-USD,33
2016-05-13,BTC-USD,33
2016-05-14,BTC-USD,28
2016-05-15,BTC-USD,27
2016-05-16,BTC-USD,28
2016-05-17,BTC-USD,34
2016-05-18,BTC-USD,32
2016-05-19,BTC-USD,33
2016-05-20,BTC-USD,33
2016-05-21,BTC-USD,29
2016-05-22,BTC-USD,28
2016-05-23,BTC-USD,30
2016-05-24,BTC-USD,30
2016-05-25,BTC-USD,28
2016-05-26,BTC-USD,24
2016-05-27,BTC-USD,32
2016-05-28,BTC-USD,37
2016-05-29,BTC-USD,39
2016-05-30,BTC-USD,40
2016-05-31,BTC-USD,37
2016-06-01,BTC-USD,35
2016-06-02,BTC-USD,33
2016-06-03,BTC-USD,35
2016-06-04,BTC-USD,36
2016-06-05,BTC-USD,35
2016-06-06,BTC-USD,36
2016-06-07,BTC-USD,36
2016-06-08,BTC-USD,33
2016-06-09,BTC-USD,34
2016-06-10,BTC-USD,31
2016-06-11,BTC-USD,33
2016-06-12,BTC-USD,48
2016-06-13,BTC-USD,56
2016-06-14,BTC-USD,49
2016-06-15,BTC-USD,43
2016-06-16,BTC-USD,56
2016-06-17,BTC-USD,56
2016-06-18,BTC-USD,47
2016-06-19,BTC-USD,40
2016-06-20,BTC-USD,44
2016-06-21,BTC-USD,52
2016-06-22,BTC-USD,44
2016-06-23,BTC-USD,48
2016-06-24,BTC-USD,63
2016-06-25,BTC-USD,48
2016-06-26,BTC-USD,39
2016-06-27,BTC-USD,41
2016-06-28,BTC-USD,41
2016-06-29,BTC-USD,36
2016-06-30,BTC-USD,37
2016-07-01,BTC-USD,39
2016-07-02,BTC-USD,34
2016-07-03,BTC-USD,36
2016-07-04,BTC-USD,36
2016-07-05,BTC-USD,34
2016-07-06,BTC-USD,35
2016-07-07,BTC-USD,38
2016-07-08,BTC-USD,35
2016-07-09,BTC-USD,49
2016-07-10,BTC-USD,38
2016-07-11,BTC-USD,35
2016-07-12,BTC-USD,34
2016-07-13,BTC-USD,31
2016-07-14,BTC-USD,30
2016-07-15,BTC-USD,31
2016-07-16,BTC-USD,29
2016-07-17,BTC-USD,29
2016-07-18,BTC-USD,30
2016-07-19,BTC-USD,30
2016-07-20,BTC-USD,29
2016-07-21,BTC-USD,31
2016-07-22,BTC-USD,26
2016-07-23,BTC-USD,26
2016-07-24,BTC-USD,28
2016-07-25,BTC-USD,27
2016-07-26,BTC-USD,30
2016-07-27,BTC-USD,31
2016-07-28,BTC-USD,28
2016-07-29,BTC-USD,25
2016-07-30,BTC-USD,28
2016-07-31,BTC-USD,29
2016-08-01,BTC-USD,31
2016-08-02,BTC-USD,39
2016-08-03,BTC-USD,67
2016-08-04,BTC-USD,43
2016-08-05,BTC-USD,32
2016-08-06,BTC-USD,31
2016-08-07,BTC-USD,34
2016-08-08,BTC-USD,33
2016-08-09,BTC-USD,32
2016-08-10,BTC-USD,28
2016-08-11,BTC-USD,28
2016-08-12,BTC-USD,26
2016-08-13,BTC-USD,27
2016-08-14,BTC-USD,26
2016-08-15,BTC-USD,26
2016-08-16,BTC-USD,27
2016-08-17,BTC-USD,27
2016-08-18,BTC-USD,26
2016-08-19,BTC-USD,27
2016-08-20,BTC-USD,24
2016-08-21,BTC-USD,26
2016-08-22,BTC-USD,26
2016-08-23,BTC-USD,29
2016-08-24,BTC-USD,28
2016-08-25,BTC-USD,29
2016-08-26,BTC-USD,29
2016-08-27,BTC-USD,25
2016-08-28,BTC-USD,25
2016-08-29,BTC-USD,28
2016-08-30,BTC-USD,27
2016-08-31,BTC-USD,28
2016-09-01,BTC-USD,29
2016-09-02,BTC-USD,26
2016-09-03,BTC-USD,27
2016-09-04,BTC-USD,31
2016-09-05,BTC-USD,30
2016-09-06,BTC-USD,30
2016-09-07,BTC-USD,30
2016-09-08,BTC-USD,31
2016-09-09,BTC-USD,30
2016-09-10,BTC-USD,29
2016-09-11,BTC-USD,27
2016-09-12,BTC-USD,32
2016-09-13,BTC-USD,31
2016-09-14,BTC-USD,29
2016-09-15,BTC-USD,31
2016-09-16,BTC-USD,29
2016-09-17,BTC-USD,27
2016-09-18,BTC-USD,25
2016-09-19,BTC-USD,28
2016-09-20,BTC-USD,28
2016-09-21,BTC-USD,30
2016-09-22,BTC-USD,31
2016-09-23,BTC-USD,28
2016-09-24,BTC-USD,29
2016-09-25,BTC-USD,26
2016-09-26,BTC-USD,28
2016-09-27,BTC-USD,28
2016-09-28,BTC-USD,27
2016-09-29,BTC-USD,27
2016-09-30,BTC-USD,27
2016-10-01,BTC-USD,27
2016-10-02,BTC-USD,25
