Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-5,4.9300823705280905,4.9300823705280905,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-6,4.313460912174904,4.313460912174904,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-7,3.7444870271550625,3.7444870271550625,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-8,3.2262955470173655,3.2262955470173655,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-9,2.799166311040535,2.799166311040535,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-1,6.634715503835075,6.634715503835075,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-2,6.555686528546348,6.555686528546348,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-3,6.153501057204105,6.153501057204105,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-0,5.500705775986336,5.500705775986336,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-4,5.437400107124571,5.437400107124571,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-5,4.726903061115134,4.726903061115134,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-6,4.137021195672028,4.137021195672028,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-7,3.5983490077127835,3.5983490077127835,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-8,3.2818571609133977,3.2818571609133977,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-9,2.9459173081374974,2.9459173081374974,2021-07-18,Deep Learning LSTM,LTC,1 day ahead,2021-07-18
Close_t-2,6.688238992768288,6.688238992768288,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-1,6.673461841420953,6.673461841420953,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-3,6.115410612043257,6.115410612043257,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-4,5.627287763803737,5.627287763803737,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-0,5.44964277519951,5.44964277519951,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-5,4.816569361281299,4.816569361281299,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-6,4.150816134019862,4.150816134019862,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-7,3.543137856666101,3.543137856666101,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-8,3.1886270244643242,3.1886270244643242,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-9,2.8030665810251385,2.8030665810251385,2021-07-19,Deep Learning LSTM,LTC,1 day ahead,2021-07-19
Close_t-1,6.740793170677791,6.740793170677791,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-2,6.616582714429146,6.616582714429146,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-3,6.050092371424946,6.050092371424946,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-4,5.637354483241935,5.637354483241935,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-0,5.54823569788258,5.54823569788258,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-5,4.895946206201883,4.895946206201883,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-6,4.23494965965068,4.23494965965068,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-7,3.6805693913103714,3.6805693913103714,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
